Référence;Semaine;Client;Besoin;Dispo_TIS;PDP;DISPO_IDL;SS;LeadTime_Semaine;CA_unitaire
SEL2072174A01LF;WK50;SCH MIC-PX40;32;0;0;0;100;2;
SEL9651520LF;WK50;SCH MIC-PX30;30;0;0;0;100;1;
SEL9651332LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SELGN0067003LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL2072114A01LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL45196503A02LF;WK50;SCH MIC-C264;80;0;0;0;100;1;
SELE2070879A01LF;WK50;SCH MIC-C264;20;0;0;0;100;1;
SEL2070966LF;WK50;SCH MIC-C264;0;0;0;0;100;2;
SELGN0014004LF;WK50;SCH MIC-PX40;8;0;0;0;100;2;
SEL9651537LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
SELGN0014006LF;WK50;SCH MIC-PX40;12;0;0;0;100;2;
ARE2071715A02;WK50;SCH MIC-PX20;0;0;0;0;100;2;
ARE2071715A05;WK50;SCH MIC-PX20;0;0;0;0;100;2;
ARE2071717A15;WK50;SCH MIC-PX20;19;0;0;0;100;2;
ARE2071717A14;WK50;SCH MIC-PX20;15;0;0;0;100;1;
SEL9651538LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
ARE2071715A04;WK50;SCH MIC-PX20;18;0;0;0;100;1;
SEL2072037A01LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL9651547LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SELZN0022001LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SELNVE10000;WK50;SCH MIC-PX40;10;0;0;0;100;1;
SEL45196501A01LF;WK50;SCH MIC-C264;0;0;0;0;100;1;
SELZN0125001LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL9650426LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
